HomeTeam,AwayTeam,B365H,B365D,B365A,form_dif,st_dif,FTH,poisson_df,ht_poisson_df,FTRT,y_pred,Profit,Bankroll,Proba
Middlesbrough,Aston Villa,1.8,3.25,4.0,0.7333333333333334,0.4347826086956522,0.4990403071017275,0.47058823529411764,0.5,0,1,-1.0,86.55531739099753,0.5366521858932632
Tottenham,Everton,2.25,3.6,3.25,0.3333333333333333,0.2065217391304348,0.4315352697095436,0.23529411764705882,0.5,1,0,-1.0,85.55531739099753,0.4751977883133529
Crystal Palace,West Ham,2.1,3.6,3.4,0.5333333333333333,0.4130434782608696,0.45434298440979953,0.35294117647058826,0.5833333333333334,1,1,1.1,86.65531739099752,0.5041593253867696
Arsenal,Leeds,1.45,4.5,7.0,0.5666666666666668,0.4565217391304348,0.6538661131292164,0.35294117647058826,0.5,1,1,0.44999999999999996,87.10531739099753,0.729297525823299
Blackburn,Middlesbrough,2.1,3.25,3.75,0.6333333333333333,0.41304347826086957,0.4532775453277545,0.35294117647058826,0.5,0,0,0.6540178571428572,87.75933524814039,0.4938956959744496
Southampton,Man United,4.0,3.25,1.8,0.6,0.47826086956521746,0.22456813819577734,0.4117647058823529,0.5,0,0,0.10049504950495036,87.85983029764533,0.2500084981149667
Brighton,Newcastle,1.57,3.9,6.0,0.6666666666666666,0.4239130434782609,0.6008782066096602,0.4117647058823529,0.5,0,1,-1.0,86.85983029764533,0.6615763028981697
Liverpool,Man United,2.8,3.2,2.6,0.6333333333333334,0.4021739130434783,0.33876221498371334,0.35294117647058826,0.5,1,0,-1.0,85.85983029764533,0.3581103483211666
Newcastle,Tottenham,1.615,3.4,5.5,0.7333333333333334,0.7282608695652174,0.5654073502955538,0.47058823529411764,0.5,1,1,0.615,86.47483029764533,0.6486720593092786
Sunderland,Tottenham,3.4,3.25,2.1,0.26666666666666666,0.3478260869565218,0.2728362982210673,0.17647058823529413,0.4166666666666667,1,0,-1.0,85.47483029764533,0.31857138808971625
Chelsea,Cardiff,1.25,6.5,15.0,0.7111111111111111,0.6449275362318841,0.7839195979899497,0.4117647058823529,0.5833333333333334,1,1,0.25,85.72483029764533,0.8387579956303212
Wigan,Charlton,2.3,3.25,3.0,0.5,0.40217391304347827,0.40414507772020725,0.35294117647058826,0.4166666666666667,1,0,-1.0,84.72483029764533,0.4453378874857765
Leicester,Man United,3.6,3.5,2.15,0.3666666666666667,0.30434782608695654,0.27005203660506016,0.23529411764705882,0.3333333333333333,0,0,0.26526548672566364,84.990095784371,0.30075805327563115
Fulham,Newcastle,3.0,3.25,2.1,0.5333333333333333,0.40217391304347827,0.29836065573770487,0.29411764705882354,0.5,1,0,-1.0,83.990095784371,0.3250614670774098
Liverpool,West Brom,1.29,6.0,13.0,0.6666666666666666,0.6086956521739131,0.7609013754755634,0.4117647058823529,0.5,1,1,0.29000000000000004,84.28009578437099,0.8228404433195009
Fulham,Middlesbrough,2.5,3.2,2.75,0.8333333333333334,0.391304347826087,0.3717001055966209,0.4117647058823529,0.5,0,0,0.4050420168067228,84.68513780117772,0.37427390364117197
Chelsea,West Brom,1.36,4.75,8.0,0.7666666666666666,0.6304347826086957,0.6866642573183954,0.4117647058823529,0.5,1,1,0.3600000000000001,85.04513780117772,0.7597999460305498
Leicester,Stoke,2.63,3.3,2.9,0.5,0.41304347826086957,0.3698407791003246,0.35294117647058826,0.5,0,0,0.46637096774193565,85.51150876891965,0.4061199081536078
Arsenal,Leicester,1.5,4.5,6.0,0.7333333333333334,0.391304347826087,0.631578947368421,0.47058823529411764,0.5,1,1,0.5,86.01150876891965,0.6827113655391275
Man United,Tottenham,1.91,3.75,4.33,0.6,0.4130434782608696,0.5127043318187702,0.4117647058823529,0.5,1,1,0.9099999999999999,86.92150876891965,0.5652476619826555
West Ham,Bournemouth,1.95,3.75,4.0,0.5666666666666668,0.6304347826086957,0.49813200498132004,0.35294117647058826,0.5,1,1,0.95,87.87150876891965,0.5803295601221402
West Ham,Chelsea,8.5,4.5,1.4,0.5333333333333333,0.22826086956521738,0.11160318866253321,0.17647058823529413,0.4166666666666667,0,0,0.014406779661017,87.88591554858067,0.15511761960856324
Fulham,Man United,5.0,3.6,1.66,0.5333333333333333,0.3478260869565218,0.1851530549014748,0.35294117647058826,0.5,0,0,0.07931558935361194,87.96523113793428,0.2112481856369035
Birmingham,Everton,2.3,3.25,3.0,0.43333333333333335,0.5,0.40414507772020725,0.35294117647058826,0.5,0,0,0.482,88.44723113793428,0.46328523643357955
Leicester,Crystal Palace,1.66,3.6,5.75,0.5333333333333333,0.532608695652174,0.5714916760995002,0.4117647058823529,0.5,1,1,0.6599999999999999,89.10723113793428,0.6524764674770126
Stoke,Hull,1.95,3.3,4.0,0.7000000000000001,0.5217391304347826,0.4811372334609076,0.4117647058823529,0.5833333333333334,1,1,0.95,90.05723113793428,0.5319023481310812
Man United,Aston Villa,1.72,4.2,4.2,0.5,0.40217391304347827,0.549738219895288,0.35294117647058826,0.5,1,1,0.72,90.77723113793428,0.618817354359643
Bournemouth,Wolves,2.38,3.4,3.0,0.43333333333333335,0.4021739130434783,0.40106951871657753,0.35294117647058826,0.5,0,0,0.5140624999999999,91.29129363793427,0.4475776946374822
Aston Villa,Newcastle,1.45,4.75,6.5,0.5333333333333333,0.5760869565217391,0.6543046357615894,0.4117647058823529,0.5,1,1,0.44999999999999996,91.74129363793428,0.7411489751635254
Everton,West Brom,1.53,4.2,7.5,0.5666666666666667,0.47826086956521746,0.6376389141920205,0.4117647058823529,0.5833333333333334,0,1,-1.0,90.74129363793428,0.7131890138565403
Portsmouth,Blackburn,2.5,3.2,2.75,0.5333333333333333,0.5108695652173914,0.3717001055966209,0.35294117647058826,0.5,0,0,0.4050420168067228,91.146335654741,0.41713648494759803
Blackburn,Charlton,2.3,3.1,3.1,0.3333333333333333,0.5434782608695653,0.4025974025974026,0.29411764705882354,0.5,1,0,-1.0,90.146335654741,0.4788310608154711
Man United,Middlesbrough,1.333,4.0,9.0,0.8333333333333334,0.8152173913043479,0.6750548482064168,0.35294117647058826,0.5,1,1,0.33299999999999996,90.479335654741,0.7641360715800973
Sheffield United,Man City,9.5,6.0,1.28,0.26666666666666666,0.16304347826086957,0.09994794377928162,0.29411764705882354,0.5,0,0,0.00219780219780219,90.4815334569388,0.15279860020689476
Blackburn,Man United,5.5,3.6,1.61,0.3,0.25,0.16823894807117354,0.11764705882352941,0.4166666666666667,0,0,0.056852207293666135,90.53838566423246,0.21179288863519624
Man United,Fulham,1.33,5.75,10.0,0.7999999999999999,0.6630434782608696,0.7329742821632302,0.47058823529411764,0.5,1,1,0.33000000000000007,90.86838566423248,0.7969400953164063
Birmingham,West Brom,1.8,3.1,5.0,0.5333333333333333,0.5652173913043479,0.5152925531914895,0.35294117647058826,0.5,1,1,0.8,91.66838566423247,0.5955045206403637
Chelsea,Liverpool,2.375,3.0,2.75,0.5333333333333333,0.47826086956521735,0.37660485021398005,0.4117647058823529,0.5,1,0,-1.0,90.66838566423247,0.41595183774334626
Swansea,Chelsea,5.0,3.6,1.83,0.6,0.45652173913043476,0.19526942913035747,0.35294117647058826,0.5,0,0,0.15259668508287283,90.82098234931534,0.22468287714552362
Nott'm Forest,Ipswich,1.7,3.8,4.75,0.5666666666666667,0.4239130434782609,0.5539358600583091,0.35294117647058826,0.5,1,1,0.7,91.52098234931535,0.6204985203078982
Fulham,West Ham,2.3,3.25,3.2,0.7999999999999999,0.4130434782608696,0.41212601545472566,0.47058823529411764,0.5833333333333334,0,0,0.531782945736434,92.05276529505177,0.42357053883293416
West Ham,Leicester,3.3,3.5,2.3,0.6,0.30434782608695654,0.2960647296800294,0.29411764705882354,0.5,0,0,0.31853448275862073,92.37129977781039,0.3070149658901605
Burnley,Newcastle,3.4,4.0,1.95,0.4666666666666666,0.4239130434782609,0.2782732786300392,0.29411764705882354,0.5,0,0,0.245378151260504,92.6166779290709,0.3115164145990394
Everton,Man City,2.88,3.25,2.5,0.5,0.5217391304347826,0.32914725541827017,0.35294117647058826,0.5,1,0,-1.0,91.6166779290709,0.37215964614080316
Hull,Sunderland,2.1,3.25,3.75,0.6,0.532608695652174,0.4532775453277545,0.4117647058823529,0.5,0,1,-1.0,90.6166779290709,0.508586274969188
Aston Villa,Man City,2.1,3.3,3.6,0.6,0.48913043478260876,0.4505119453924914,0.35294117647058826,0.4166666666666667,0,1,-1.0,89.6166779290709,0.5029678391959671
Wigan,Reading,1.83,3.6,4.33,0.6,0.532608695652174,0.517875474669351,0.35294117647058826,0.4166666666666667,1,1,0.8300000000000001,90.4466779290709,0.5888389202858394
Brighton,Liverpool,6.0,4.33,1.53,0.43333333333333335,0.391304347826087,0.15854770503220061,0.35294117647058826,0.5,0,0,0.07400255972696246,90.52068048879786,0.1996263227629707
Tottenham,Chelsea,4.5,3.5,1.83,0.5666666666666668,0.4347826086956522,0.21076011846001974,0.4117647058823529,0.5,1,0,-1.0,89.52068048879786,0.2359682456062489
Stoke,Arsenal,5.0,3.6,1.73,0.5,0.31521739130434784,0.1894275807530872,0.29411764705882354,0.5,0,0,0.11005628517823629,89.6307367739761,0.21610725078793455
Newcastle,Tottenham,5.5,4.0,1.7,0.46666666666666673,0.26086956521739135,0.1782437745740498,0.35294117647058826,0.5,0,0,0.1333333333333333,89.76407010730944,0.2026239089667728
Liverpool,Tottenham,2.0,3.4,3.8,0.5666666666666668,0.39130434782608703,0.47291361639824303,0.35294117647058826,0.5,0,1,-1.0,88.76407010730944,0.5209135668983824
Ipswich,Bournemouth,3.5,3.75,2.0,0.4666666666666666,0.32608695652173914,0.27149321266968324,0.29411764705882354,0.4166666666666667,0,0,0.23913043478260865,89.00320054209205,0.29436191892515184
Stoke,Man United,8.5,4.5,1.4,0.4000000000000001,0.16304347826086954,0.11160318866253321,0.29411764705882354,0.5,0,0,0.014406779661017,89.01760732175306,0.1539009403579903
Arsenal,Bolton,1.25,5.25,15.0,0.9666666666666667,0.6521739130434783,0.7567567567567568,0.5294117647058824,0.6666666666666666,1,1,0.25,89.26760732175306,0.8029164954862387
Newcastle,Crystal Palace,2.8,3.2,2.6,0.5,0.4347826086956522,0.33876221498371334,0.35294117647058826,0.5,0,0,0.36275862068965514,89.63036594244272,0.3729579221921663
Bournemouth,Leicester,2.4,3.4,3.2,0.7999999999999999,0.5543478260869565,0.40718562874251496,0.47058823529411764,0.6666666666666666,1,0,-1.0,88.63036594244272,0.43486793697941784
Norwich,Fulham,2.6,3.25,2.75,0.5333333333333333,0.3804347826086957,0.3642384105960265,0.35294117647058826,0.5,0,0,0.4151041666666666,89.04547010910939,0.39287477600841186
Chelsea,Man City,3.0,3.7,2.2,0.6,0.4673913043478261,0.315015479876161,0.35294117647058826,0.5,0,0,0.31067796610169496,89.35614807521108,0.34205929516802325
Sunderland,Middlesbrough,2.38,3.1,3.2,0.5666666666666667,0.391304347826087,0.3981697037810067,0.29411764705882354,0.5,1,0,-1.0,88.35614807521108,0.4340600320800773
Everton,Arsenal,3.4,3.3,2.2,0.43333333333333335,0.4673913043478261,0.2796610169491525,0.29411764705882354,0.5,0,0,0.254,88.61014807521107,0.3202071015012122
Man City,Aston Villa,1.33,5.0,10.0,0.7999999999999999,0.717391304347826,0.7147962830593281,0.4117647058823529,0.5,1,1,0.33000000000000007,88.94014807521108,0.7889714127400628
Man City,Fulham,1.1,11.0,19.0,0.7000000000000001,0.44565217391304346,0.8636363636363636,0.47058823529411764,0.5,1,1,0.10000000000000009,89.04014807521108,0.8729540350664229
Burnley,Leicester,2.9,3.4,2.4,0.6666666666666666,0.25,0.32666132906325057,0.35294117647058826,0.5,0,0,0.336551724137931,89.37669979934901,0.32531496611711
Birmingham,Man United,5.5,3.2,1.72,0.5,0.2065217391304348,0.16902100479056628,0.29411764705882354,0.5,0,0,0.0627642276422764,89.43946402699129,0.19138583491506375
Sunderland,Swansea,4.0,3.4,2.1,0.5,0.2826086956521739,0.24502402196293757,0.29411764705882354,0.5,0,0,0.2332727272727273,89.67273675426401,0.26196115546953735
Newcastle,Tottenham,1.83,3.75,4.2,0.6666666666666666,0.4565217391304348,0.5198277142432793,0.4117647058823529,0.5,1,1,0.8300000000000001,90.502736754264,0.5731070265165451
Liverpool,Man City,2.5,3.6,2.62,0.6,0.39130434782608703,0.3775518373228725,0.35294117647058826,0.6666666666666666,1,0,-1.0,89.502736754264,0.40385836223204447
Man City,Tottenham,1.28,6.0,10.0,0.7333333333333334,0.532608695652174,0.7455268389662029,0.47058823529411764,0.5833333333333334,0,1,-1.0,88.502736754264,0.8001599717013023
Watford,Brentford,2.7,3.3,2.55,0.3,0.2934782608695652,0.3475836431226766,0.11764705882352941,0.5,0,0,0.36653846153846126,88.86927521580247,0.39523990391239866
Stoke,Reading,1.91,3.5,4.6,0.6,0.5652173913043479,0.509961673687878,0.4117647058823529,0.5,1,1,0.9099999999999999,89.77927521580247,0.58044883392217
Everton,Bournemouth,2.25,3.7,3.0,0.7333333333333334,0.391304347826087,0.4240687679083095,0.4117647058823529,0.5833333333333334,0,0,0.5738805970149254,90.35315581281739,0.4440410889849748
Fulham,Wigan,2.0,3.4,3.8,0.7666666666666666,0.5217391304347826,0.47291361639824303,0.4117647058823529,0.5,1,1,1.0,91.35315581281739,0.5160143728044991
Hull,Stoke,2.3,3.3,3.5,0.7999999999999999,0.3152173913043479,0.42478852519308563,0.4117647058823529,0.5,0,0,0.6136029411764705,91.96675875399387,0.4297359784158712
Crystal Palace,Fulham,1.91,3.4,4.2,0.6,0.5108695652173912,0.4959022086400889,0.4117647058823529,0.5,0,1,-1.0,90.96675875399387,0.5571743333912276
Birmingham,Charlton,2.37,3.25,2.87,0.39999999999999997,0.3804347826086957,0.3913871743335613,0.29411764705882354,0.5,0,0,0.44789624183006516,91.41465499582394,0.4393872240839872
West Ham,Bournemouth,1.9,3.75,3.8,0.43333333333333335,0.44565217391304346,0.4983388704318937,0.35294117647058826,0.5,1,1,0.8999999999999999,92.31465499582393,0.5699020731515247
Aston Villa,Fulham,1.77,3.75,4.5,0.6666666666666666,0.5108695652173912,0.536097212294496,0.35294117647058826,0.5833333333333334,1,1,0.77,93.08465499582394,0.6017058464205323
Newcastle,Man City,6.0,4.5,1.57,0.5,0.5217391304347826,0.1624698171783374,0.29411764705882354,0.5,0,0,0.10572487644151551,93.19037987226545,0.21139416196919006
Aston Villa,Norwich,2.45,3.2,3.3,0.5666666666666667,0.5,0.39871625448367,0.4117647058823529,0.5,1,0,-1.0,92.19037987226545,0.4418430007207136
Man United,Swansea,1.57,4.0,7.0,0.5333333333333333,0.5,0.6185111552904793,0.35294117647058826,0.5,1,1,0.5700000000000001,92.76037987226545,0.7013219549103166
Southampton,Sheffield United,1.7,3.75,5.0,0.7999999999999999,0.5978260869565218,0.5576208178438662,0.47058823529411764,0.5833333333333334,1,1,0.7,93.46037987226545,0.6193984808424945
Newcastle,Chelsea,6.5,4.2,1.6,0.6,0.3478260869565218,0.15128320576316975,0.4117647058823529,0.5,1,0,-1.0,92.46037987226545,0.17981835205089985
Fulham,Luton,1.67,3.75,5.5,0.7333333333333334,0.47826086956521746,0.5717651950932151,0.5294117647058824,0.5833333333333334,1,1,0.6699999999999999,93.13037987226545,0.624257143539717
Watford,Man United,6.0,4.2,1.62,0.3666666666666667,0.4239130434782609,0.1630716134598792,0.29411764705882354,0.5,1,0,-1.0,92.13037987226545,0.21178050376851731
Liverpool,Crystal Palace,1.22,7.0,12.0,0.8666666666666667,0.717391304347826,0.7837283075200598,0.47058823529411764,0.5,0,1,-1.0,91.13037987226545,0.834201775288904
Birmingham,Burnley,1.5,4.2,7.0,0.6333333333333333,0.25000000000000006,0.6363636363636365,0.35294117647058826,0.5,1,1,0.5,91.63037987226545,0.6857167655505927
Chelsea,Wigan,1.22,6.0,15.0,0.9,0.36956521739130443,0.7784120394395433,0.47058823529411764,0.5833333333333334,0,1,-1.0,90.63037987226545,0.8030874268378515
QPR,Newcastle,2.4,3.25,3.0,0.3333333333333333,0.41304347826086957,0.393939393939394,0.23529411764705882,0.5,0,0,0.482,91.11237987226545,0.45542397717904454
Swansea,Aston Villa,1.57,4.0,6.0,0.4666666666666666,0.5543478260869565,0.6045340050377834,0.47058823529411764,0.5833333333333334,0,1,-1.0,90.11237987226545,0.6925349223820071
Stoke,Arsenal,5.5,3.8,1.73,0.43333333333333335,0.30434782608695654,0.1777285138825056,0.35294117647058826,0.5833333333333334,1,0,-1.0,89.11237987226545,0.20768144760926782
Blackburn,Southampton,2.2,3.25,2.8,0.5666666666666668,0.41304347826086957,0.40606871932173133,0.35294117647058826,0.5,1,0,-1.0,88.11237987226545,0.44305457143173604
Sheffield United,Liverpool,12.0,7.5,1.2,0.43333333333333335,0.3369565217391305,0.07936507936507936,0.17647058823529413,0.4166666666666667,0,0,-0.017241379310344862,88.0951384929551,0.14664570253031978
Bournemouth,Man City,13.0,7.5,1.22,0.5666666666666668,0.45652173913043476,0.07468778058933966,0.35294117647058826,0.4166666666666667,0,0,-0.0031536697247706025,88.09198482323033,0.14067181136169304
Stoke,Hull,1.91,3.5,4.75,0.6,0.4021739130434783,0.5133945804060835,0.35294117647058826,0.5,1,1,0.9099999999999999,89.00198482323033,0.5677992046753118
Newcastle,Crystal Palace,2.6,3.25,3.0,0.7666666666666666,0.532608695652174,0.375,0.4117647058823529,0.5,0,0,0.482,89.48398482323033,0.40034571963932386
West Brom,Man City,11.0,6.5,1.28,0.19999999999999998,0.14130434782608695,0.088604898828541,0.23529411764705882,0.5,0,0,0.01593830334190227,89.49992312657224,0.14905054551958466
Crystal Palace,Leicester,2.62,3.2,3.0,0.39999999999999997,0.4239130434782609,0.37145952638910384,0.35294117647058826,0.5,1,0,-1.0,88.49992312657224,0.4180187201503773
Southampton,Crystal Palace,2.05,3.6,3.5,0.43333333333333335,0.391304347826087,0.46400294605045106,0.35294117647058826,0.5,1,1,1.0499999999999998,89.54992312657224,0.5221067886606579
Crystal Palace,Leeds,2.87,3.4,2.45,0.4666666666666666,0.16304347826086957,0.3316148808694441,0.35294117647058826,0.4166666666666667,1,0,-1.0,88.54992312657224,0.336982366346097
Fulham,Charlton,2.3,3.25,3.0,0.5666666666666668,0.4347826086956522,0.40414507772020725,0.35294117647058826,0.5,0,0,0.482,89.03192312657224,0.4434168198504409
Bolton,Man City,5.0,3.75,1.7,0.7999999999999999,0.5869565217391305,0.1895910780669145,0.47058823529411764,0.5,0,0,0.11123853211009171,89.14316165868233,0.2144845382731439
Fulham,Everton,3.9,3.9,1.85,0.3,0.36956521739130443,0.24342105263157898,0.29411764705882354,0.5,0,0,0.19204347826086954,89.33520513694319,0.28319601039585474
Tottenham,Chelsea,3.4,3.9,2.0,0.5,0.391304347826087,0.2799712849964106,0.29411764705882354,0.4166666666666667,0,0,0.2559322033898306,89.59113734033302,0.3072618934703373
Newcastle,Fulham,2.0,3.6,4.0,0.7000000000000001,0.44565217391304346,0.4864864864864865,0.4117647058823529,0.5833333333333334,0,1,-1.0,88.59113734033302,0.5289563160367883
West Ham,Norwich,2.05,3.5,4.0,0.5,0.34782608695652173,0.4765957446808511,0.29411764705882354,0.5,1,1,1.0499999999999998,89.64113734033302,0.5290527071277924
Watford,Liverpool,6.5,3.75,1.53,0.3333333333333333,0.1521739130434783,0.1432316045684329,0.35294117647058826,0.5,0,0,0.03231534090909083,89.67345268124211,0.17577112029912162
Chelsea,Crystal Palace,1.36,5.25,10.0,0.46666666666666673,0.5217391304347826,0.7168214090660842,0.29411764705882354,0.5,1,1,0.3600000000000001,90.03345268124211,0.7983722393843847
Burnley,Brighton,2.37,3.4,3.0,0.5666666666666668,0.5869565217391305,0.40208136234626296,0.35294117647058826,0.5,0,0,0.5140624999999999,90.54751518124212,0.4596145561867163
Bolton,Tottenham,2.8,3.25,2.5,0.4000000000000001,0.5978260869565218,0.33539731682146534,0.23529411764705882,0.3333333333333333,0,0,0.34239130434782594,90.88990648558993,0.40269109119089125
Man City,Swansea,1.22,7.0,15.0,0.6333333333333333,0.532608695652174,0.7964199029126214,0.47058823529411764,0.5,1,1,0.21999999999999997,91.10990648558995,0.8414833181823519
Aston Villa,Man United,4.2,3.8,1.8,0.3666666666666667,0.358695652173913,0.225296442687747,0.35294117647058826,0.5,0,0,0.16035714285714286,91.27026362844708,0.2576787838246721
